id;start_time;end_time;availability
1;2024-05-06T01:15:12;2024-05-05T10:42:21;true
2;2024-05-05T23:19:00;2024-05-06T05:59:31;true
3;2024-05-05T15:54:20;2024-05-05T20:12:39;true
4;2024-05-06T00:52:47;2024-05-05T11:27:59;false
5;2024-05-06T07:54:48;2024-05-05T15:00:04;true
6;2024-05-06T03:09:11;2024-05-06T08:00:34;true
7;2024-05-05T10:26:04;2024-05-05T19:24:52;false
8;2024-05-05T18:14:50;2024-05-05T11:59:31;true
9;2024-05-06T06:58:33;2024-05-06T07:04:34;false
10;2024-05-06T01:48:40;2024-05-05T17:51:54;true
